# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0.00251439 0.000555556
33 2.66699 0.0212601 0.00555556
34 2.74905 0.0555747 0.0194444
35 2.83112 0.0461612 0.0316667
36 2.91318 0.112915 0.0633333
37 2.99524 0.131087 0.102222
38 3.0773 0.17558 0.157222
39 3.15936 0.207069 0.225556
40 3.24142 0.219137 0.301667
41 3.32348 0.281698 0.404444
42 3.40555 0.292832 0.516667
43 3.48761 0.309587 0.641111
44 3.56967 0.323147 0.777222
45 3.65173 0.342822 0.928333
46 3.73379 0.406279 1.11556
47 3.81585 0.363552 1.29056
48 3.89791 0.400396 1.49167
49 3.97997 0.394729 1.69833
50 4.06204 0.382104 1.90667
51 4.1441 0.422807 2.14667
52 4.22616 0.432908 2.40222
53 4.30822 0.496328 2.70667
54 4.39028 0.477897 3.01111
55 4.47234 0.475565 3.32556
56 4.5544 0.514593 3.67833
57 4.63647 0.435466 3.98778
58 4.71853 0.531495 4.37889
59 4.80059 0.502514 4.76167
60 4.88265 0.50134 5.15667
61 4.96471 0.502639 5.56611
62 5.04677 0.523904 6.00722
63 5.12883 0.542497 6.47889
64 5.21089 0.536041 6.96
65 5.29296 0.513666 7.43556
66 5.37502 0.535205 7.94667
67 5.45708 0.545825 8.48389
68 5.53914 0.543415 9.035
69 5.6212 0.564023 9.62389
70 5.70326 0.552931 10.2183
71 5.78532 0.582492 10.8628
72 5.86739 0.625033 11.5739
73 5.94945 0.600209 12.2761
74 6.03151 0.597822 12.995
75 6.11357 0.60938 13.7478
76 6.19563 0.635806 14.5544
77 6.27769 0.689467 15.4522
78 6.35975 0.652944 16.325
79 6.44181 0.666791 17.2394
80 6.52388 0.707245 18.2344
81 6.60594 0.681835 19.2178
82 6.688 0.675964 20.2172
83 6.77006 0.696821 21.2728
84 6.85212 0.700312 22.3594
85 6.93418 0.726067 23.5133
86 7.01624 0.760357 24.7506
87 7.09831 0.748296 25.9967
88 7.18037 0.767728 27.305
89 7.26243 0.753155 28.6178
90 7.34449 0.752586 29.9594
91 7.42655 0.778309 31.3783
92 7.50861 0.779971 32.8317
93 7.59067 0.809919 34.3739
94 7.67273 0.808032 35.9461
95 7.7548 0.819279 37.5744
96 7.83686 0.794355 39.1872
97 7.91892 0.820784 40.8883
98 8.00098 0.827367 42.6389
99 8.08304 0.842536 44.4583
100 8.1651 0.852916 46.3378
101 8.24716 0.836169 48.2172
102 8.32923 0.873683 50.2206
103 8.41129 0.848329 52.2044
104 8.49335 0.892469 54.3322
105 8.57541 0.862468 56.4283
106 8.65747 0.893948 58.6428
107 8.73953 0.870285 60.84
108 8.82159 0.901159 63.1578
109 8.90365 0.88377 65.4733
110 8.98572 0.890591 67.85
111 9.06778 0.903998 70.3067
112 9.14984 0.889459 72.7678
113 9.2319 0.901133 75.3061
114 9.31396 0.905267 77.9017
115 9.39602 0.91433 80.5694
116 9.47808 0.919087 83.2983
117 9.56015 0.905829 86.035
118 9.64221 0.907291 88.8228
119 9.72427 0.880584 91.575
120 9.80633 0.896534 94.4244
