# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
1200000 487.676 511.946 539.934 1539.56
1201000 489.46 513.625 541.942 1545.03
1202000 491.62 514.308 543.365 1549.29
1203000 491.321 516.116 543.279 1550.72
1204000 492.694 518.804 546.983 1558.48
1205000 491.411 519.218 545.871 1556.5
1206000 493.233 520.326 548.172 1561.73
1207000 495.163 521.04 550.175 1566.38
1208000 495.829 522.233 551.719 1569.78
1209000 496.325 522.794 551.899 1571.02
1210000 495.048 523.409 551.253 1569.71
1211000 496.959 524.679 554.621 1576.26
1212000 499.043 526.227 556.908 1582.18
1213000 499.832 526.093 556.318 1582.24
1214000 502.093 528.933 559.563 1590.59
1215000 502.65 530.848 561.669 1595.17
1216000 500.037 529.923 562.051 1592.01
1217000 499.578 528.578 562.782 1590.94
1218000 499.152 530.682 561.709 1591.54
1219000 498.417 530.949 562.728 1592.09
1220000 501.807 534.113 567.74 1603.66
1221000 502.254 534.261 567.684 1604.2
1222000 501.152 533.159 566.836 1601.15
1223000 504.548 536.059 571.018 1611.62
1224000 507.93 538.328 574.543 1620.8
1225000 508.869 539.397 575.917 1624.18
1226000 507.099 538.165 572.041 1617.3
1227000 508.488 541.256 572.011 1621.75
1228000 510.287 541.836 572.164 1624.29
1229000 512.538 544.029 574.381 1630.95
1230000 515.255 546.677 577.537 1639.47
1231000 510.452 544.296 574.546 1629.29
1232000 513.029 547.925 577.055 1638.01
1233000 514.13 549.235 578.601 1641.97
1234000 514.979 549.74 579.872 1644.59
1235000 515.794 551.903 582.37 1650.07
1236000 518.429 554.827 588.314 1661.57
1237000 517.957 555.223 590.14 1663.32
1238000 517.614 553.29 589.626 1660.53
1239000 518.522 553.816 589.986 1662.32
1240000 518.774 553.727 590.72 1663.22
1241000 519.361 551.816 589.743 1660.92
1242000 522.089 551.637 589.315 1663.04
1243000 525.625 555.215 595.535 1676.38
1244000 526.443 556.065 596.955 1679.46
1245000 527.027 556.66 598.773 1682.46
1246000 527.84 557.993 602.747 1688.58
1247000 529.704 560.879 606.055 1696.64
1248000 527.59 558.877 605.606 1692.07
1249000 528.539 562.705 608.365 1699.61
1250000 529.813 564.327 607.732 1701.87
1251000 530.302 565.83 608.848 1704.98
1252000 533.407 569.591 612.869 1715.87
1253000 533.664 567.647 612.507 1713.82
1254000 533.209 567.428 612.706 1713.34
1255000 531.984 568.231 611.201 1711.42
1256000 534.498 572.424 612.44 1719.36
1257000 535.986 573.594 613.745 1723.33
1258000 533.271 571.016 611.874 1716.16
1259000 533.248 571.063 612.774 1717.08
1260000 533.414 570.081 612.041 1715.54
1261000 533.23 569.555 612.146 1714.93
1262000 533.501 571.031 612.129 1716.66
1263000 533.862 571.393 613.733 1718.99
1264000 533.748 570.585 612.872 1717.21
1265000 534.879 571.207 612.543 1718.63
1266000 537.655 575.175 617.6 1730.43
1267000 537.897 574.068 616.195 1728.16
1268000 539.95 576.221 619.931 1736.1
1269000 541.812 580.823 622.141 1744.78
